Month,infected_month,Textiles,Apparel_Accessories,Livestock_Aquatic_Products,Food_Beverages,Building_Materials,Chemicals,Minerals_Metals,Industry_Machinery_Equipment,Motor_Vehicles,Electorical_Machinery_Equipment,color,circle_size,Textiles_2019,Apparel_Accessories_2019,Livestock_Aquatic_Products_2019,Food_Beverages_2019,Building_Materials_2019,Chemicals_2019,Minerals_Metals_2019,Industry_Machinery_Equipment_2019,Motor_Vehicles_2019,Electorical_Machinery_Equipment_2019
1,12,205,264,1786,3472,1339,1141,3355,758,898,2752,black,5,231,295,1775,3488,1383,1232,3837,845,978,2921
2,193,203,242,1819,3670,1480,1185,3373,815,928,2872,black,5,240,287,1825,3619,1538,1295,3875,964,1060,3050
3,1930,219,392,3031,4619,2026,2170,4887,2490,1640,5514,black,5,277,340,2037,4092,1674,1412,4107,1260,1269,3890
4,12089,186,309,2791,4453,1753,1991,3839,1453,1091,3811,black,5,247,348,2057,4352,1537,1372,3633,888,1048,2999
5,2511,140,270,2685,4132,1560,1542,3190,1306,848,3333,black,5,232,301,1913,4009,1431,1234,3524,878,987,3101
6,1747,158,333,2860,4543,1751,1723,3503,1601,1113,4168,black,5,240,302,1900,4041,1514,1299,3527,961,1053,3516
7,17373,167,327,3007,4738,1782,1840,3654,1588,1235,4127,black,5,249,307,2006,4278,1558,1367,3645,921,1093,3427
8,31981,151,319,3010,4531,1591,1680,3593,1472,1095,3825,black,5,223,302,1976,4205,1356,1218,3298,842,963,3245
9,15045,173,364,2896,4477,1848,1893,3946,1838,1419,4847,black,5,254,358,1963,4137,1590,1320,3587,1000,1144,3893
10,17529,174,403,3110,4469,1966,2028,4177,1619,1412,4519,black,5,248,332,1937,4077,1488,1317,3518,795,983,3039
11,47158,167,369,2888,4461,1891,1949,4166,1702,1378,4658,black,5,235,320,1981,4148,1591,1299,3514,826,1062,3136
12,86541,175,393,3503,5329,1915,2035,4485,1806,1437,5208,black,5,234,311,2294,4827,1541,1310,3552,892,1036,3279